date,year,chair,chair_key,title,url,word_count,filename,fomc_day,filter_stage,filter_decision,filter_reason
2016-03-29,2016,Janet L. Yellen,yellen,"The Outlook, Uncertainty, and Monetary Policy",https://www.federalreserve.gov/newsevents/speech/yellen20160329a.htm,5117,20160329_yellen_The_Outlook_Uncertainty_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2016-06-06,2016,Janet L. Yellen,yellen,Current Conditions and the Outlook for the U.S. Economy,https://www.federalreserve.gov/newsevents/speech/yellen20160606a.htm,5424,20160606_yellen_Current_Conditions_and_the_Outlook_for_the_US_Economy.txt,False,stage2,INCLUDE,"Yellen on outlook, rate path, and policy uncertainty."
2016-08-26,2016,Janet L. Yellen,yellen,"The Federal Reserve's Monetary Policy Toolkit: Past, Present, and Future",https://www.federalreserve.gov/newsevents/speech/yellen20160826a.htm,6484,20160826_yellen_The_Federal_Reserves_Monetary_Policy_Toolkit_Past_Present_an.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2016-10-14,2016,Janet L. Yellen,yellen,Macroeconomic Research After the Crisis,https://www.federalreserve.gov/newsevents/speech/yellen20161014a.htm,6442,20161014_yellen_Macroeconomic_Research_After_the_Crisis.txt,False,stage1,INCLUDE,title keyword: 'macroeconomic'
2017-01-18,2017,Janet L. Yellen,yellen,The Goals of Monetary Policy and How We Pursue Them,https://www.federalreserve.gov/newsevents/speech/yellen20170118a.htm,3039,20170118_yellen_The_Goals_of_Monetary_Policy_and_How_We_Pursue_Them.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2017-01-19,2017,Janet L. Yellen,yellen,The Economic Outlook and the Conduct of Monetary Policy,https://www.federalreserve.gov/newsevents/speech/yellen20170119a.htm,6567,20170119_yellen_The_Economic_Outlook_and_the_Conduct_of_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2017-03-03,2017,Janet L. Yellen,yellen,From Adding Accommodation to Scaling It Back,https://www.federalreserve.gov/newsevents/speech/yellen20170303a.htm,4585,20170303_yellen_From_Adding_Accommodation_to_Scaling_It_Back.txt,False,stage2,INCLUDE,Direct discussion of FOMC rate path and policy stance.
2017-08-25,2017,Janet L. Yellen,yellen,Financial Stability a Decade after the Onset of the Crisis,https://www.federalreserve.gov/newsevents/speech/yellen20170825a.htm,6800,20170825_yellen_Financial_Stability_a_Decade_after_the_Onset_of_the_Crisis.txt,False,stage1,INCLUDE,title keyword: 'financial stability'
2017-09-26,2017,Janet L. Yellen,yellen,"Inflation, Uncertainty, and Monetary Policy",https://www.federalreserve.gov/newsevents/speech/yellen20170926a.htm,8657,20170926_yellen_Inflation_Uncertainty_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2017-10-15,2017,Janet L. Yellen,yellen,The U.S. Economy and Monetary Policy,https://www.federalreserve.gov/newsevents/speech/yellen20171015a.htm,1792,20171015_yellen_The_US_Economy_and_Monetary_Policy.txt,False,stage1,INCLUDE,title keyword: 'monetary policy'
2017-10-20,2017,Janet L. Yellen,yellen,A Challenging Decade and a Question for the Future,https://www.federalreserve.gov/newsevents/speech/yellen20171020a.htm,4318,20171020_yellen_A_Challenging_Decade_and_a_Question_for_the_Future.txt,False,stage2,INCLUDE,Discusses unconventional monetary policy tools and accommodation removal.
